batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture
3C,level_4,MAR,0.8500000000000001,85.00000000000001,knn,baseline,0.085204884471351,0.1030762598359927,-0.9646803471866616,1,cnn
3C,level_4,MAR,0.9,90.0,knn,baseline,0.0884781186512875,0.1086112238250344,-1.1813432601527896,1,cnn
3C,level_4,MAR,0.95,95.0,knn,baseline,0.0909581532826087,0.1121290640188221,-1.3249359427012264,1,cnn
3C,level_4,MNAR,0.0,0.0,knn,baseline,0.0783937402685139,0.095730645022889,-0.6946365457922201,1,cnn
3C,level_4,MNAR,0.05,5.0,knn,baseline,0.0779896130838854,0.0954540046183323,-0.6848564473051506,1,cnn
3C,level_4,MNAR,0.1,10.0,knn,baseline,0.0776642148662703,0.0950694208301533,-0.6713072379978893,1,cnn
3C,level_4,MNAR,0.15,15.0,knn,baseline,0.0767901310961974,0.0941102375730629,-0.6377527494119173,1,cnn
3C,level_4,MNAR,0.2,20.0,knn,baseline,0.0787892855206879,0.0961551738827817,-0.7097000043484085,1,cnn
3C,level_4,MNAR,0.25,25.0,knn,baseline,0.0774777100613739,0.0949101481029726,-0.6657119439861572,1,cnn
3C,level_4,MNAR,0.3,30.0,knn,baseline,0.0775265150883583,0.0945870369194134,-0.6543897823475857,1,cnn
3C,level_4,MNAR,0.35,35.0,knn,baseline,0.0772572857393469,0.0945076648779261,-0.651614408388846,1,cnn
3C,level_4,MNAR,0.4,40.0,knn,baseline,0.0775872046891485,0.094488828967717,-0.6509561218769282,1,cnn
3C,level_4,MNAR,0.45,45.0,knn,baseline,0.0777087344415992,0.0949892263791933,-0.6684888125608885,1,cnn
3C,level_4,MNAR,0.5,50.0,knn,baseline,0.0774405654534716,0.0944989107174279,-0.6513084474280719,1,cnn
3C,level_4,MNAR,0.55,55.00000000000001,knn,baseline,0.0762005757259939,0.0936361273804605,-0.6212929163243632,1,cnn
3C,level_4,MNAR,0.6000000000000001,60.00000000000001,knn,baseline,0.07777982962883,0.0944110465057987,-0.6482391324128034,1,cnn
3C,level_4,MNAR,0.65,65.0,knn,baseline,0.0761884812377439,0.0938825752919695,-0.6298385511312199,1,cnn
3C,level_4,MNAR,0.7000000000000001,70.0,knn,baseline,0.0768438540082632,0.0940020164778471,-0.6339882814114959,1,cnn
3C,level_4,MNAR,0.75,75.0,knn,baseline,0.0781332959409697,0.0961368138262847,-0.7090471597732588,1,cnn
3C,level_4,MNAR,0.8,80.0,knn,baseline,0.0781944619380352,0.0960398682314218,-0.7056020475893137,1,cnn
3C,level_4,MNAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0755844381848725,0.0928073564451745,-0.5927198848745527,1,cnn
3C,level_4,MNAR,0.9,90.0,knn,baseline,0.079715711885978,0.0971491111999915,-0.74522835736925,1,cnn
3C,level_4,MNAR,0.95,95.0,knn,baseline,0.0783158179142861,0.0964867352655985,-0.721511076254824,1,cnn
3C,level_4,MCAR,0.0,0.0,knn,baseline,0.0568408933835672,0.0691011084666761,0.1603629378951255,9,cnn
3C,level_4,MCAR,0.05,5.0,knn,baseline,0.0564575455803115,0.068478948034111,0.1754144261357423,9,cnn
3C,level_4,MCAR,0.1,10.0,knn,baseline,0.0566788303812626,0.0691239844396347,0.1598069209372212,9,cnn
3C,level_4,MCAR,0.15,15.0,knn,baseline,0.0576927896594324,0.0700348018008667,0.1375193106841863,9,cnn
3C,level_4,MCAR,0.2,20.0,knn,baseline,0.0567406080856954,0.0686549485432528,0.1711703778843665,9,cnn
3C,level_4,MCAR,0.25,25.0,knn,baseline,0.0572470737382875,0.0691588938537858,0.1589580678286323,9,cnn
3C,level_4,MCAR,0.3,30.0,knn,baseline,0.0578928937855623,0.0702529028897537,0.1321391033062141,9,cnn
3C,level_4,MCAR,0.35,35.0,knn,baseline,0.0571527949089699,0.0682908805254818,0.1799374163300299,9,cnn
3C,level_4,MCAR,0.4,40.0,knn,baseline,0.0573848709361209,0.068585621851339,0.1728434111024509,9,cnn
3C,level_4,MCAR,0.45,45.0,knn,baseline,0.0576647656871353,0.0686414842707637,0.1714954380245054,9,cnn
3C,level_4,MCAR,0.5,50.0,knn,baseline,0.0583083793570245,0.0704968771547759,0.1261008223647765,9,cnn
3C,level_4,MCAR,0.55,55.00000000000001,knn,baseline,0.0548703786171356,0.0670575478654859,0.2092905871404405,9,cnn
3C,level_4,MCAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0565943401293833,0.0680316890279227,0.1861505412676362,9,cnn
3C,level_4,MCAR,0.65,65.0,knn,baseline,0.0542407501944413,0.0655502608389379,0.2444374552721268,9,cnn
3C,level_4,MCAR,0.7000000000000001,70.0,knn,baseline,0.0559111939513655,0.0671024875093294,0.2082304199430588,9,cnn
3C,level_4,MCAR,0.75,75.0,knn,baseline,0.055551229527656,0.0678080100441416,0.1914933972032168,9,cnn
3C,level_4,MCAR,0.8,80.0,knn,baseline,0.067507275660269,0.0864496796148595,-0.3141603157437698,9,cnn
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0718056025211974,0.0913396569084104,-0.4670344899196377,9,cnn
3C,level_4,MCAR,0.9,90.0,knn,baseline,0.1104077350805837,0.1366335559594942,-2.28273869739766,9,cnn
3C,level_4,MCAR,0.95,95.0,knn,baseline,0.1871698874051971,0.2143254139135928,-7.077350238050912,9,cnn
3C,level_4,MAR,0.0,0.0,knn,baseline,0.0568408933835672,0.0691011084666761,0.1603629378951255,9,cnn
3C,level_4,MAR,0.05,5.0,knn,baseline,0.0571089407591673,0.0686197759709416,0.1720193946849606,9,cnn
3C,level_4,MAR,0.1,10.0,knn,baseline,0.0570880524858515,0.0692231739264506,0.1573939201765946,9,cnn
3C,level_4,MAR,0.15,15.0,knn,baseline,0.0568333967650753,0.0688575046699923,0.16627248834856,9,cnn
3C,level_4,MAR,0.2,20.0,knn,baseline,0.0556931996548429,0.0666571096550091,0.2187059291546476,9,cnn
3C,level_4,MAR,0.25,25.0,knn,baseline,0.0554063961545344,0.0658422491650989,0.2376912792318433,9,cnn
3C,level_4,MAR,0.3,30.0,knn,baseline,0.0571518068358689,0.0681018076482159,0.1844720467229975,9,cnn
3C,level_4,MAR,0.35,35.0,knn,baseline,0.0563427883333066,0.0674159200146941,0.2008165097025757,9,cnn
3C,level_4,MAR,0.4,40.0,knn,baseline,0.0561201830958643,0.0668469699537506,0.2142488507976088,9,cnn
3C,level_4,MAR,0.45,45.0,knn,baseline,0.0551206373796395,0.0660802777267523,0.232169619934204,9,cnn
3C,level_4,MAR,0.5,50.0,knn,baseline,0.0579601696332295,0.0729395785151606,0.0644907822214919,9,cnn
3C,level_4,MAR,0.55,55.00000000000001,knn,baseline,0.0556816823307785,0.0665928708574385,0.2202111011507495,9,cnn
3C,level_4,MAR,0.6000000000000001,60.00000000000001,knn,baseline,0.0575521811322962,0.0747269066881086,0.0180811837368426,9,cnn
3C,level_4,MAR,0.65,65.0,knn,baseline,0.0604490134439851,0.0789314561710418,-0.0955237628937388,9,cnn
3C,level_4,MAR,0.7000000000000001,70.0,knn,baseline,0.064981474507785,0.088213821576449,-0.3683425942017335,9,cnn
3C,level_4,MAR,0.75,75.0,knn,baseline,0.0698880572431758,0.0979132744203039,-0.6857948442662773,9,cnn
3C,level_4,MAR,0.8,80.0,knn,baseline,0.0726822518355457,0.1025424609592515,-0.8489665075498443,9,cnn
3C,level_4,MAR,0.8500000000000001,85.00000000000001,knn,baseline,0.0756971665736349,0.1065610567336158,-0.9967266273022416,9,cnn
3C,level_4,MAR,0.9,90.0,knn,baseline,0.0842610011472769,0.1218825170034371,-1.612187824372461,9,cnn
3C,level_4,MAR,0.95,95.0,knn,baseline,0.0918313670631841,0.133714406705145,-2.143966976449978,9,cnn
3C,level_4,MNAR,0.0,0.0,knn,baseline,0.0568408933835672,0.0691011084666761,0.1603629378951255,9,cnn
3C,level_4,MNAR,0.05,5.0,knn,baseline,0.0571564206400661,0.069134855001623,0.1595426396117953,9,cnn
3C,level_4,MNAR,0.1,10.0,knn,baseline,0.0573432657510112,0.0696197984954195,0.1477105822478839,9,cnn
3C,level_4,MNAR,0.15,15.0,knn,baseline,0.056955971207179,0.069742028087041,0.1447152723409813,9,cnn
3C,level_4,MNAR,0.2,20.0,knn,baseline,0.0565934336653274,0.0673314756325461,0.2028173513321588,9,cnn
3C,level_4,MNAR,0.25,25.0,knn,baseline,0.0576631180963899,0.0696990012824655,0.1457702693937719,9,cnn
3C,level_4,MNAR,0.3,30.0,knn,baseline,0.056838342901099,0.0685622111064426,0.1734079914472454,9,cnn
