batch,level,missing_mode,missing_rate,missing_rate_pct,imputation_method,config_type,mae,rmse,r2,seed,architecture,param_count
3C,level_4,MCAR,0.8,80.0,iterative,baseline,0.3084767128261285,0.440265800889603,-28.831741506349736,7,cnn,36185
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,zero,baseline,0.3033483605155632,0.3388032645483724,-16.666229859772933,7,cnn,36185
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,mean,baseline,0.332572761838629,0.3670602122323825,-19.73592087232458,7,cnn,36185
3C,level_4,MCAR,0.8500000000000001,85.00000000000001,iterative,baseline,0.284300354458942,0.3966121430255087,-23.2092155813364,7,cnn,36185
3C,level_4,MCAR,0.9,90.0,zero,baseline,0.3428629285447902,0.3698774756272251,-20.05544740304321,7,cnn,36185
3C,level_4,MCAR,0.9,90.0,mean,baseline,0.3645370454139754,0.3894616729466034,-22.34415479018212,7,cnn,36185
3C,level_4,MCAR,0.9,90.0,iterative,baseline,0.3235698387508235,0.4352894020649281,-28.161166416945484,7,cnn,36185
3C,level_4,MCAR,0.95,95.0,zero,baseline,0.3825124576731835,0.4029504299358846,-23.989176882681672,7,cnn,36185
3C,level_4,MCAR,0.95,95.0,mean,baseline,0.4129084251220453,0.432194467785369,-27.7479652459238,7,cnn,36185
3C,level_4,MCAR,0.95,95.0,iterative,baseline,0.3233899633344983,0.3672001054660988,-19.7517295473297,7,cnn,36185
3C,level_4,MAR,0.0,0.0,zero,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MAR,0.0,0.0,mean,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MAR,0.0,0.0,iterative,baseline,0.0588786131432858,0.0860346106798931,-0.1391872084466836,7,cnn,36185
3C,level_4,MAR,0.05,5.0,zero,baseline,0.083847791064666,0.1481015371224625,-2.3757310331836394,7,cnn,36185
3C,level_4,MAR,0.05,5.0,mean,baseline,0.0800774211011486,0.1225005907235337,-1.3095377755963904,7,cnn,36185
3C,level_4,MAR,0.05,5.0,iterative,baseline,0.0618152938587863,0.0902118137514763,-0.2524936519351461,7,cnn,36185
3C,level_4,MAR,0.1,10.0,zero,baseline,0.0955985241640634,0.1544787691948653,-2.672707190853025,7,cnn,36185
3C,level_4,MAR,0.1,10.0,mean,baseline,0.1036567632344235,0.1724367510092162,-3.5762355131724064,7,cnn,36185
3C,level_4,MAR,0.1,10.0,iterative,baseline,0.0783381851124735,0.1255773289606127,-1.4270078826223762,7,cnn,36185
3C,level_4,MAR,0.15,15.0,zero,baseline,0.1060279244728133,0.1609485449686289,-2.986784984594528,7,cnn,36185
3C,level_4,MAR,0.15,15.0,mean,baseline,0.119809114565743,0.2223893474025669,-6.611612401044368,7,cnn,36185
3C,level_4,MAR,0.15,15.0,iterative,baseline,0.0990662425903195,0.1813949448204755,-4.064062578933474,7,cnn,36185
3C,level_4,MAR,0.2,20.0,zero,baseline,0.1252532325769225,0.1827983838649325,-4.1427262563050045,7,cnn,36185
3C,level_4,MAR,0.2,20.0,mean,baseline,0.1203419391234063,0.1822622913647752,-4.112606358881551,7,cnn,36185
3C,level_4,MAR,0.2,20.0,iterative,baseline,0.1274975052740761,0.2152443035180073,-6.130369525099933,7,cnn,36185
3C,level_4,MAR,0.25,25.0,zero,baseline,0.1463375719546712,0.2644766459144737,-9.765231197006498,7,cnn,36185
3C,level_4,MAR,0.25,25.0,mean,baseline,0.1335321425139415,0.2291561041512152,-7.081864498053074,7,cnn,36185
3C,level_4,MAR,0.25,25.0,iterative,baseline,0.1574478145814026,0.3012680315940392,-12.968661843440447,7,cnn,36185
3C,level_4,MAR,0.3,30.0,zero,baseline,0.1537208233103243,0.2536207807888134,-8.899616586101416,7,cnn,36185
3C,level_4,MAR,0.3,30.0,mean,baseline,0.1509827683908299,0.2480810355315313,-8.471872344329654,7,cnn,36185
3C,level_4,MAR,0.3,30.0,iterative,baseline,0.1784989349369706,0.3170593596349207,-14.471408759283532,7,cnn,36185
3C,level_4,MAR,0.35,35.0,zero,baseline,0.154600530596439,0.2257419106927469,-6.8428353455366775,7,cnn,36185
3C,level_4,MAR,0.35,35.0,mean,baseline,0.1416929848303129,0.2340279831743004,-7.429159737682564,7,cnn,36185
3C,level_4,MAR,0.35,35.0,iterative,baseline,0.1944346335479271,0.3777203422745063,-20.957831763939488,7,cnn,36185
3C,level_4,MAR,0.4,40.0,zero,baseline,0.1665487252589826,0.2690253437088244,-10.138715051112472,7,cnn,36185
3C,level_4,MAR,0.4,40.0,mean,baseline,0.1562265530482266,0.2654484719944339,-9.844490775594965,7,cnn,36185
3C,level_4,MAR,0.4,40.0,iterative,baseline,0.2155176348155156,0.3909840424705092,-22.52701174632868,7,cnn,36185
3C,level_4,MAR,0.45,45.0,zero,baseline,0.1581941981712511,0.2402129944619191,-7.880587514326104,7,cnn,36185
3C,level_4,MAR,0.45,45.0,mean,baseline,0.1582849016469081,0.2329461025323833,-7.351406078845279,7,cnn,36185
3C,level_4,MAR,0.45,45.0,iterative,baseline,0.2470896397587283,0.4561388505237343,-31.021585517267056,7,cnn,36185
3C,level_4,MAR,0.5,50.0,zero,baseline,0.1544000189301556,0.2223447741455701,-6.608561532291185,7,cnn,36185
3C,level_4,MAR,0.5,50.0,mean,baseline,0.1422612891739446,0.1988144644990196,-5.083375994955057,7,cnn,36185
3C,level_4,MAR,0.5,50.0,iterative,baseline,0.2506207770362129,0.4343929159616782,-28.041174247259587,7,cnn,36185
3C,level_4,MAR,0.55,55.00000000000001,zero,baseline,0.1651608858287404,0.2280499713636709,-7.00403074668975,7,cnn,36185
3C,level_4,MAR,0.55,55.00000000000001,mean,baseline,0.159235549937938,0.2180741274596821,-6.319088375661621,7,cnn,36185
3C,level_4,MAR,0.55,55.00000000000001,iterative,baseline,0.2562673530254386,0.3855148827292852,-21.873414563831528,7,cnn,36185
3C,level_4,MAR,0.6000000000000001,60.00000000000001,zero,baseline,0.1697221914248897,0.213469065747769,-6.0132384146330615,7,cnn,36185
3C,level_4,MAR,0.6000000000000001,60.00000000000001,mean,baseline,0.1529140369855784,0.1903852447197536,-4.578472253574559,7,cnn,36185
3C,level_4,MAR,0.6000000000000001,60.00000000000001,iterative,baseline,0.24617900187972,0.3619040363162226,-19.1574484501734,7,cnn,36185
3C,level_4,MAR,0.65,65.0,zero,baseline,0.1533036128622146,0.1863343621743876,-4.343608185234777,7,cnn,36185
3C,level_4,MAR,0.65,65.0,mean,baseline,0.1550180719259336,0.2010349790139821,-5.220022590653555,7,cnn,36185
3C,level_4,MAR,0.65,65.0,iterative,baseline,0.2284073007131936,0.3362755350251145,-16.40360624508513,7,cnn,36185
3C,level_4,MAR,0.7000000000000001,70.0,zero,baseline,0.147035809813183,0.1800299146380475,-3.98813335181236,7,cnn,36185
3C,level_4,MAR,0.7000000000000001,70.0,mean,baseline,0.1620571715890452,0.1927844407954138,-4.719955686564879,7,cnn,36185
3C,level_4,MAR,0.7000000000000001,70.0,iterative,baseline,0.2123592790008849,0.326332558443196,-15.389643830274196,7,cnn,36185
3C,level_4,MAR,0.75,75.0,zero,baseline,0.1833585198146377,0.2171487734567447,-6.257105980923777,7,cnn,36185
3C,level_4,MAR,0.75,75.0,mean,baseline,0.1704147798207273,0.207093666182546,-5.60058361783721,7,cnn,36185
3C,level_4,MAR,0.75,75.0,iterative,baseline,0.2238435953381752,0.3046384605808138,-13.28295830475566,7,cnn,36185
3C,level_4,MAR,0.8,80.0,zero,baseline,0.1843050943756998,0.2174799967808982,-6.279261814111123,7,cnn,36185
